doc_id,segment_id,sentence_id
0,s0_0,0_0
0,s0_1,0_1
0,s0_1,0_2
0,s0_1,0_3
0,s0_1,0_4
0,s0_2,0_5
0,s0_2,0_6
0,s0_2,0_7
0,s0_2,0_8
0,s0_2,0_9
0,s0_3,0_10
0,s0_3,0_11
0,s0_3,0_12
1,s1_0,1_0
1,s1_0,1_1
1,s1_0,1_2
1,s1_1,1_3
1,s1_1,1_4
1,s1_2,1_5
1,s1_2,1_6
1,s1_2,1_7
1,s1_2,1_8
1,s1_2,1_9
1,s1_3,1_10
1,s1_3,1_11
1,s1_4,1_12
1,s1_5,1_13
1,s1_6,1_14
1,s1_6,1_15
1,s1_6,1_16
1,s1_6,1_17
1,s1_6,1_18
1,s1_6,1_19
1,s1_6,1_20
1,s1_6,1_21
2,s2_0,2_0
2,s2_1,2_1
2,s2_1,2_2
2,s2_1,2_3
2,s2_2,2_4
2,s2_3,2_5
2,s2_3,2_6
2,s2_3,2_7
2,s2_3,2_8
2,s2_4,2_9
2,s2_4,2_10
3,s3_0,3_0
3,s3_0,3_1
3,s3_1,3_2
3,s3_1,3_3
3,s3_1,3_4
3,s3_1,3_5
3,s3_1,3_6
4,s4_0,4_0
4,s4_0,4_1
4,s4_0,4_2
4,s4_0,4_3
4,s4_0,4_4
4,s4_1,4_5
4,s4_1,4_6
4,s4_1,4_7
4,s4_2,4_8
4,s4_3,4_9
4,s4_3,4_10
4,s4_3,4_11
4,s4_3,4_12
4,s4_3,4_13
4,s4_3,4_14
4,s4_3,4_15
5,s5_0,5_0
5,s5_1,5_1
5,s5_1,5_2
5,s5_1,5_3
5,s5_1,5_4
5,s5_2,5_5
5,s5_2,5_6
5,s5_3,5_7
5,s5_3,5_8
5,s5_3,5_9
5,s5_3,5_10
5,s5_4,5_11
5,s5_4,5_12
5,s5_5,5_13
6,s6_0,6_0
6,s6_1,6_1
6,s6_1,6_2
6,s6_1,6_3
6,s6_1,6_4
6,s6_1,6_5
6,s6_2,6_6
6,s6_2,6_7
6,s6_2,6_8
6,s6_2,6_9
6,s6_2,6_10
6,s6_2,6_11
6,s6_2,6_12
7,s7_0,7_0
7,s7_0,7_1
7,s7_0,7_2
7,s7_0,7_3
7,s7_0,7_4
7,s7_0,7_5
7,s7_0,7_6
7,s7_0,7_7
7,s7_1,7_8
7,s7_1,7_9
7,s7_1,7_10
7,s7_2,7_11
8,s8_0,8_0
8,s8_1,8_1
8,s8_1,8_2
8,s8_1,8_3
8,s8_1,8_4
8,s8_2,8_5
8,s8_2,8_6
8,s8_2,8_7
8,s8_2,8_8
8,s8_3,8_9
8,s8_3,8_10
8,s8_3,8_11
8,s8_4,8_12
8,s8_4,8_13
8,s8_4,8_14
8,s8_4,8_15
8,s8_4,8_16
8,s8_5,8_17
8,s8_5,8_18
8,s8_6,8_19
8,s8_6,8_20
8,s8_7,8_21
8,s8_7,8_22
8,s8_7,8_23
8,s8_7,8_24
8,s8_7,8_25
9,s9_0,9_0
9,s9_0,9_1
9,s9_1,9_2
9,s9_1,9_3
9,s9_1,9_4
9,s9_1,9_5
9,s9_1,9_6
9,s9_1,9_7
9,s9_1,9_8
9,s9_2,9_9
9,s9_2,9_10
9,s9_2,9_11
10,s10_0,10_0
10,s10_0,10_1
10,s10_0,10_2
10,s10_1,10_3
10,s10_1,10_4
10,s10_1,10_5
10,s10_1,10_6
11,s11_0,11_0
11,s11_1,11_1
11,s11_1,11_2
11,s11_1,11_3
11,s11_1,11_4
11,s11_1,11_5
11,s11_2,11_6
11,s11_2,11_7
11,s11_2,11_8
11,s11_2,11_9
11,s11_3,11_10
11,s11_3,11_11
11,s11_3,11_12
11,s11_3,11_13
11,s11_3,11_14
12,s12_0,12_0
12,s12_0,12_1
12,s12_0,12_2
12,s12_1,12_3
12,s12_1,12_4
12,s12_1,12_5
12,s12_1,12_6
12,s12_1,12_7
12,s12_1,12_8
12,s12_1,12_9
12,s12_2,12_10
12,s12_2,12_11
13,s13_0,13_0
13,s13_0,13_1
13,s13_0,13_2
13,s13_0,13_3
13,s13_0,13_4
13,s13_0,13_5
13,s13_0,13_6
13,s13_1,13_7
13,s13_1,13_8
13,s13_2,13_9
13,s13_2,13_10
13,s13_2,13_11
13,s13_2,13_12
14,s14_0,14_0
14,s14_1,14_1
14,s14_1,14_2
14,s14_1,14_3
14,s14_1,14_4
14,s14_1,14_5
14,s14_1,14_6
14,s14_2,14_7
14,s14_2,14_8
14,s14_2,14_9
14,s14_3,14_10
14,s14_3,14_11
14,s14_3,14_12
14,s14_3,14_13
14,s14_3,14_14
14,s14_4,14_15
14,s14_4,14_16
14,s14_5,14_17
14,s14_6,14_18
14,s14_7,14_19
14,s14_7,14_20
14,s14_8,14_21
14,s14_8,14_22
15,s15_0,15_0
15,s15_1,15_1
15,s15_2,15_2
15,s15_2,15_3
15,s15_2,15_4
15,s15_2,15_5
15,s15_2,15_6
15,s15_2,15_7
15,s15_2,15_8
15,s15_2,15_9
15,s15_3,15_10
15,s15_3,15_11
15,s15_3,15_12
15,s15_3,15_13
16,s16_0,16_0
16,s16_1,16_1
16,s16_2,16_2
16,s16_2,16_3
16,s16_2,16_4
16,s16_3,16_5
16,s16_3,16_6
16,s16_3,16_7
16,s16_3,16_8
16,s16_3,16_9
16,s16_3,16_10
16,s16_3,16_11
16,s16_3,16_12
16,s16_4,16_13
16,s16_4,16_14
16,s16_5,16_15
16,s16_5,16_16
16,s16_5,16_17
16,s16_5,16_18
16,s16_5,16_19
16,s16_5,16_20
16,s16_5,16_21
16,s16_6,11_14
16,s16_6,16_23
17,s17_0,17_0
17,s17_1,17_1
17,s17_2,17_2
17,s17_3,17_3
17,s17_3,17_4
17,s17_4,17_5
17,s17_4,17_6
17,s17_4,17_7
17,s17_4,17_8
17,s17_4,17_9
17,s17_4,3_6
18,s18_0,1_0
18,s18_0,18_1
18,s18_0,18_2
18,s18_1,18_3
18,s18_1,18_4
18,s18_1,18_5
18,s18_1,18_6
18,s18_2,18_7
18,s18_2,18_8
18,s18_2,18_9
18,s18_2,18_10
18,s18_3,18_11
18,s18_3,18_12
18,s18_3,18_13
18,s18_4,18_14
18,s18_4,18_15
19,s19_0,19_0
19,s19_0,19_1
19,s19_0,19_2
19,s19_0,19_3
19,s19_0,19_4
19,s19_0,19_5
19,s19_0,19_6
19,s19_0,19_7
19,s19_0,19_8
19,s19_1,19_9
19,s19_1,19_10
20,s20_0,20_0
20,s20_0,9_1
20,s20_0,20_2
20,s20_0,20_3
20,s20_1,20_4
20,s20_1,20_5
20,s20_1,20_6
20,s20_1,20_7
20,s20_2,20_8
20,s20_2,20_9
20,s20_2,20_10
21,s21_0,21_0
21,s21_1,21_1
21,s21_1,21_2
21,s21_1,21_3
21,s21_1,21_4
21,s21_2,21_5
21,s21_2,21_6
21,s21_2,21_7
21,s21_2,21_8
21,s21_2,21_9
21,s21_2,21_10
21,s21_2,21_11
21,s21_2,14_21
21,s21_3,21_13
22,s22_0,22_0
22,s22_1,22_1
22,s22_1,22_2
22,s22_1,22_3
22,s22_1,22_4
22,s22_1,22_5
22,s22_2,22_6
22,s22_2,22_7
22,s22_2,22_8
22,s22_2,22_9
22,s22_2,22_10
22,s22_2,22_11
22,s22_2,22_12
22,s22_3,22_13
22,s22_3,22_14
22,s22_3,22_15
22,s22_3,22_16
22,s22_3,22_17
22,s22_4,22_18
22,s22_4,22_19
22,s22_5,22_20
22,s22_5,22_21
22,s22_6,14_21
22,s22_6,3_6
23,s23_0,23_0
23,s23_0,23_1
23,s23_1,23_2
23,s23_1,23_3
23,s23_1,23_4
23,s23_1,23_5
23,s23_1,23_6
23,s23_2,23_7
23,s23_2,23_8
23,s23_2,23_9
23,s23_2,23_10
24,s24_0,24_0
24,s24_1,24_1
24,s24_2,24_2
24,s24_3,24_3
24,s24_4,24_4
24,s24_4,24_5
24,s24_4,24_6
24,s24_4,24_7
24,s24_4,24_8
24,s24_4,24_9
24,s24_4,24_10
24,s24_4,24_11
24,s24_4,24_12
24,s24_4,24_13
24,s24_4,24_14
24,s24_5,24_15
24,s24_5,24_16
24,s24_5,24_17
24,s24_5,24_18
24,s24_6,24_19
24,s24_6,24_20
24,s24_7,24_21
25,s25_0,25_0
25,s25_0,10_1
25,s25_1,25_2
25,s25_1,25_3
25,s25_1,25_4
25,s25_2,25_5
25,s25_2,25_6
25,s25_2,25_7
25,s25_2,25_8
25,s25_3,25_9
25,s25_3,25_10
25,s25_3,25_11
25,s25_3,15_12
25,s25_4,25_13
26,s26_0,26_0
26,s26_0,26_1
26,s26_0,26_2
26,s26_1,26_3
26,s26_1,26_4
26,s26_1,26_5
26,s26_1,26_6
26,s26_1,26_7
26,s26_1,26_8
26,s26_2,26_9
26,s26_2,26_10
26,s26_2,26_11
26,s26_3,26_12
26,s26_3,26_13
26,s26_3,26_14
26,s26_3,26_15
26,s26_3,26_16
26,s26_4,26_17
27,s27_0,27_0
27,s27_0,27_1
27,s27_0,27_2
27,s27_0,27_3
27,s27_0,27_4
27,s27_0,27_5
27,s27_0,27_6
27,s27_0,27_7
27,s27_1,27_8
27,s27_2,27_9
27,s27_3,27_10
27,s27_3,27_11
28,s28_0,28_0
28,s28_0,10_1
28,s28_1,28_2
28,s28_1,28_3
28,s28_1,28_4
28,s28_1,28_5
28,s28_1,28_6
28,s28_2,28_7
28,s28_2,28_8
28,s28_2,28_9
28,s28_2,28_10
28,s28_2,28_11
28,s28_2,28_12
28,s28_2,28_13
28,s28_2,28_14
28,s28_2,28_15
28,s28_3,28_16
29,s29_0,29_0
29,s29_0,29_1
29,s29_0,29_2
29,s29_0,29_3
29,s29_1,29_4
29,s29_1,29_5
29,s29_1,29_6
29,s29_1,29_7
29,s29_1,29_8
29,s29_1,29_9
29,s29_2,29_10
29,s29_3,29_11
29,s29_3,29_12
29,s29_3,29_13
29,s29_3,29_14
29,s29_4,29_15
30,s30_0,30_0
30,s30_1,30_1
30,s30_1,30_2
30,s30_1,30_3
30,s30_1,30_4
30,s30_1,30_5
30,s30_1,30_6
30,s30_1,30_7
30,s30_1,30_8
30,s30_1,30_9
30,s30_2,30_10
30,s30_2,30_11
30,s30_2,30_12
30,s30_2,30_13
30,s30_2,30_14
30,s30_3,30_15
31,s31_0,12_0
31,s31_0,31_1
31,s31_0,31_2
31,s31_0,31_3
31,s31_0,31_4
31,s31_0,31_5
31,s31_1,31_6
31,s31_1,31_7
31,s31_1,31_8
31,s31_1,31_9
31,s31_1,31_10
31,s31_1,31_11
31,s31_1,31_12
31,s31_1,31_13
31,s31_1,31_14
31,s31_2,31_15
31,s31_2,31_16
31,s31_2,31_17
31,s31_3,31_18
31,s31_3,31_19
31,s31_4,31_20
31,s31_4,31_21
32,s32_0,32_0
32,s32_0,32_1
32,s32_1,32_2
32,s32_1,32_3
32,s32_1,32_4
32,s32_1,32_5
32,s32_1,32_6
32,s32_1,32_7
32,s32_1,32_8
33,s33_0,1_0
33,s33_0,1_1
33,s33_0,1_2
33,s33_1,33_3
33,s33_1,33_4
33,s33_1,33_5
33,s33_1,33_6
33,s33_2,33_7
33,s33_2,33_8
33,s33_3,33_9
33,s33_3,33_10
33,s33_4,33_11
33,s33_4,33_12
33,s33_5,33_13
33,s33_6,1_19
33,s33_6,33_15
34,s34_0,34_0
34,s34_0,34_1
34,s34_0,34_2
34,s34_0,34_3
34,s34_0,34_4
34,s34_1,34_5
34,s34_1,34_6
34,s34_1,34_7
34,s34_2,34_8
34,s34_2,34_9
34,s34_2,34_10
34,s34_2,34_11
34,s34_2,34_12
34,s34_2,34_13
34,s34_3,34_14
35,s35_0,35_0
35,s35_1,35_1
35,s35_1,35_2
35,s35_2,35_3
35,s35_2,35_4
35,s35_2,35_5
35,s35_2,35_6
35,s35_2,35_7
35,s35_3,35_8
35,s35_3,35_9
35,s35_4,35_10
35,s35_5,35_11
35,s35_5,35_12
35,s35_6,35_13
35,s35_6,3_6
36,s36_0,36_0
36,s36_1,36_1
36,s36_1,36_2
36,s36_1,36_3
36,s36_1,36_4
36,s36_1,36_5
36,s36_1,36_6
36,s36_1,36_7
36,s36_1,36_8
36,s36_1,36_9
36,s36_2,36_10
36,s36_2,36_11
36,s36_2,36_12
36,s36_3,36_13
36,s36_3,36_14
36,s36_3,36_15
36,s36_3,36_16
36,s36_3,36_17
36,s36_3,36_18
36,s36_3,36_19
36,s36_3,36_20
36,s36_4,36_21
36,s36_5,36_22
36,s36_5,11_14
37,s37_0,37_0
37,s37_1,37_1
37,s37_1,37_2
37,s37_1,37_3
37,s37_1,37_4
37,s37_1,37_5
37,s37_1,37_6
37,s37_1,37_7
37,s37_2,37_8
37,s37_2,37_9
37,s37_2,37_10
37,s37_2,37_11
37,s37_2,37_12
37,s37_2,37_13
37,s37_2,37_14
37,s37_3,37_15
37,s37_3,37_16
37,s37_3,37_17
37,s37_3,37_18
37,s37_4,37_19
37,s37_4,37_20
37,s37_4,37_21
38,s38_0,38_0
38,s38_1,38_1
38,s38_1,38_2
38,s38_1,38_3
38,s38_1,38_4
38,s38_1,38_5
38,s38_1,38_6
38,s38_1,38_7
38,s38_1,38_8
38,s38_2,38_9
38,s38_3,38_10
38,s38_3,38_11
38,s38_3,38_12
38,s38_3,38_13
39,s39_0,39_0
39,s39_1,39_1
39,s39_1,39_2
39,s39_1,39_3
39,s39_1,39_4
39,s39_1,39_5
39,s39_1,39_6
39,s39_1,39_7
39,s39_2,39_8
39,s39_2,39_9
39,s39_2,39_10
39,s39_2,0_12
40,s40_0,40_0
40,s40_0,40_1
40,s40_0,40_2
40,s40_1,40_3
40,s40_1,40_4
40,s40_1,40_5
40,s40_1,40_6
40,s40_2,40_7
40,s40_2,40_8
40,s40_2,40_9
40,s40_2,40_10
40,s40_3,40_11
40,s40_3,40_12
40,s40_3,1_21
41,s41_0,41_0
41,s41_1,41_1
41,s41_1,41_2
41,s41_1,41_3
41,s41_1,41_4
41,s41_1,41_5
41,s41_1,41_6
41,s41_1,3_6
42,s42_0,42_0
42,s42_1,42_1
42,s42_1,42_2
42,s42_1,42_3
42,s42_1,42_4
42,s42_1,42_5
42,s42_1,42_6
42,s42_1,42_7
42,s42_1,42_8
42,s42_1,42_9
42,s42_1,42_10
42,s42_2,42_11
43,s43_0,43_0
43,s43_0,43_1
43,s43_0,43_2
43,s43_0,43_3
43,s43_0,43_4
43,s43_0,43_5
43,s43_0,43_6
43,s43_0,43_7
43,s43_1,43_8
43,s43_1,43_9
43,s43_1,43_10
43,s43_1,43_11
43,s43_2,43_12
44,s44_0,44_0
44,s44_0,44_1
44,s44_0,44_2
44,s44_0,44_3
44,s44_0,44_4
44,s44_1,44_5
44,s44_1,44_6
45,s45_0,45_0
45,s45_1,45_1
45,s45_1,45_2
45,s45_2,45_3
45,s45_2,45_4
45,s45_2,45_5
45,s45_2,45_6
45,s45_2,45_7
45,s45_2,3_6
45,s45_2,45_9
46,s46_0,46_0
46,s46_0,46_1
46,s46_0,46_2
46,s46_0,46_3
46,s46_0,46_4
46,s46_0,46_5
46,s46_1,46_6
46,s46_1,46_7
46,s46_1,46_8
46,s46_1,46_9
46,s46_2,46_10
46,s46_2,46_11
46,s46_2,46_12
46,s46_3,46_13
46,s46_3,46_14
